PSR,P0,P-dot,Telescope,Freq(MHz),best_alpha,alpha_Upper_Error,alpha_Lower_Error,best_beta,beta_upper_Error,beta_lower_Error,best_phase_offset,phase_offset_upper_error,phase_offset_lower_error,best_psi_offset,psi_offset_upper_error,psi_offset_lower_error,best_chi_red,Chi_upper_error,Chi_lower_error,best_K,K_upper_error,K_lower_error,w10,w10_error,w10_center,SN_peak,L_I,σ_LI,V_I,σ_VI,absV_I,σ_absVI,rho,drho_up,drho_down,PW,W10_MH,all_alpha_range,category,exclusion_reasons
J0006+1834,0.69374767047,2.097e-15,FAST,1048–1452,12.53543593434704,4.762850055625119,9.030909540292091,49.42602981627725,37.5632018156649,37.259940978588745,-4.321040495158925,27.48354113611516,22.16301928306603,-10.335470270224135,6.121918624987896,8.202118241326286,1.402559582800058,0.3722660057723597,0.0114719463502275,-0.2857462479798097,0.0711240620593567,0.0647907645798239,73.70078740157481,5.709055205109039,-1.417322834645656,30.21353578957273,0.9604210368340425,0.0166096273679314,-0.0738904681117949,0.0077224287740353,0.0836504899768392,0.0077375585869052,52.25455239719121,37.20485668965326,35.937180829083786,93.47423509539225,56.761985377048674,13.793759595917212,A,[]
J0058+4950,0.9960234522737444,8.035708011582396e-16,FAST,1048–1452,14.394322296849042,30.807664098226816,10.45898168616074,1.140870698409034,2.143570799643112,0.8240618811478579,3.9983141186927655,0.1927158129951331,0.2077711174109811,-15.854040881772498,1.984764593874214,1.8388567048896045,5.435387944807547,0.7812920580532028,0.0295531856533308,-12.485483959074992,0.6214945636814857,0.5140125725648712,19.02152641878671,1.9540720299065268,2.8180039138943243,105.5351431269651,0.3073344842193342,0.0044621439979801,0.1452439145331483,0.0030934218736997,0.1521155680172393,0.0030978749115437,2.704004258762919,4.4588097376323645,1.3761946646725234,18.89796768169861,9.282071457244632,41.26664578438756,B,[]
J0244+14,2.1281,--,FAST,1048–1452,101.75623047194372,62.67336123237844,74.0795096642817,1.881896313513224,0.1754634792828959,1.3644665153752984,-1.6861513647242978,0.4094603828546723,0.3518980322057892,-2.818396229855626,8.098099851097057,9.751941823545373,1.5368326505405678,2.371908486772093,0.1144954314939066,-29.8124774887435,5.112339171002791,5.14978503207929,12.68101761252446,4.354678789037791,1.0567514677103618,31.99927291740916,0.2147113436668381,0.0102720459751312,0.0939297632487662,0.0071010524529325,0.1096853404399907,0.0071588039621567,6.464945624852084,3.996831749288769,2.9046534650044333,3.447403810908241,4.856405767855403,136.75287089666014,D,[]
J0358+5413,0.1563841215590166,4.394962131539897e-15,FAST,1048–1452,128.26005225569287,0.0132037777707694,0.0159365924322116,6.676890003397784,0.0005313674149967,0.0003680210773886,7.829676725813169,0.0092165889489512,0.0092215087416969,-10.83583525978764,0.0191660529035875,0.0210342029850707,271.688460239766,0.0280984870948373,0.0015717865748001,-6.75331021639929,0.0016953522954832,0.0018322836480342,89.20872679908828,0.0509067568739225,-6.799088244871374,2333.8342579854266,0.4619026143511203,8.911015858399695e-05,-0.0372451360201557,7.934606040960647e-05,0.083720867286331,7.95212329471949e-05,33.57927371977138,0.0068285195848472,0.0082395975105485,37.780832701065535,29.692262202856472,0.0291403702029811,A,[]
J0402+4825,0.5121944487308313,2.7546031097621417e-16,FAST,1048–1452,168.32111150537494,8.791016056762743,23.37434041194265,-1.3690779671155688,1.0285203585603675,2.5606819741363607,8.942828842813054,0.2307644095860475,0.2479778396195495,31.68425106937716,1.446714148885281,1.6156487575359648,4.928860760655539,0.3668985582249053,0.0169035073740975,8.472334341689432,0.2599759733719509,0.3054775295912488,17.94721407624632,0.5039092218865492,7.038123167155419,81.8491606648604,0.4304018849642156,0.0058420450688515,-0.0729348386805964,0.0048318637665148,0.0953950826744691,0.004839659444466,2.355347961824592,1.0045835705347457,3.707589837769246,10.174500397065252,10.174500397065252,32.1653564687054,A,[]
J0453+1559,0.045781816872951,1.8612e-19,FAST,1048–1452,7.518807116918121,16.73282866188226,4.8453187763705,0.2149578248676263,0.4682175928696906,0.138774615486669,-5.524900720079234,0.051269261943009,0.0591751087139407,86.59425004638783,0.3430511577399784,0.2965490937857282,33.387994120793124,0.3983353883407901,0.0081654981494168,-34.877834006626685,0.91890909551298,0.6910261942362865,43.67906066536205,0.0894298887790829,3.170254403131114,603.4247697299875,0.2189634799950159,0.0016613890430553,0.0151366482636801,0.0016394357933415,0.0281360067637032,0.0016397718040352,2.888861899348556,6.078125485237016,1.814995046552752,29.83018447741777,8.69515512321034,21.57814743825276,A,[]
J0457+23,0.5049,--,FAST,1048–1452,8.378210271141498,28.15158904561876,5.169180099825444,0.217285424343199,0.6938321765409265,0.134374996533605,10.265743855083834,0.1326221927022537,0.1958132405138677,-37.61312845409705,1.963300224376539,1.4890090248659362,2.684999460953634,0.8954643713105526,0.0144241541129233,-38.42137341080962,4.966561744717801,6.129590397326922,52.23529411764706,1.9889289023407952,9.882352941176466,76.76656513507668,0.326191399933573,0.0062032962483073,0.0439249245352998,0.0051191183279771,0.1566656534381295,0.0051730376279065,3.827791192989321,11.67496047012272,2.3147093436566046,32.148096796260305,20.85397914920148,33.3207691454442,A,[]
J0538+2817,0.1431582589117747,3.6694514834080876e-15,FAST,1048–1452,40.49704475993816,0.2300864583297297,0.2304182817645141,17.57231846791362,0.0968353623257733,0.0995044970651584,21.62703796959885,0.1807802984981492,0.1738640202720809,-62.589975784097575,0.407249673181127,0.4258747265627747,8.53629702649488,0.038144962684333,0.0001178000357366,-2.151006105583851,0.0021429664317045,0.0020789281319371,85.29555446995604,0.0699029671558394,2.28627259404006,1540.0825766408052,0.9707205065191764,0.0002677654111646,0.144916984870134,0.0001836537339536,0.1459819310636018,0.0001836825264098,36.14019434153411,0.1205731923441418,0.1219003284734595,52.84345223437658,32.091131765397584,0.4605047400942439,A,[]
J0543+2329,0.2459747688900647,1.5422691027959168e-14,FAST,1048–1452,113.849300209975,5.379646975686597,4.965556716921952,10.092995882841729,0.1237797361954626,0.1729763506392547,29.01224219913046,6.2152162073868205,5.337301781534467,-66.81083696548589,36.71423860572717,4.761951308123443,1.8696120006103465,0.1048358909768381,5.952938419317988e-05,-5.219007251796864,0.2631608387954198,0.2640542010891886,34.13489736070382,0.2416077929257546,6.334310850439897,92.5522032696771,0.5339017841684303,0.0050527467162457,-0.1047309413072598,0.0037396641250636,0.1109899935176095,0.0037422419265349,17.990332346603815,0.6992812473641602,0.5616511981672149,39.74538002904247,36.57822460382253,10.34520369260855,A,[]
J0608+1635,0.945844752002,1.351042e-14,FAST,1048–1452,94.46415694891876,65.59356732453594,67.95858918421669,3.648298023398197,0.1785456790299524,2.430599938576208,-2.778460849719244,0.9019154562837092,0.7522274107910132,27.21625197733356,11.696856845803564,12.374664922600353,1.1311909933736468,0.7166618157267892,0.0177130074491917,-15.667737304161191,1.9723727093627783,2.420479300487374,13.372434017595296,0.9364646782150772,-0.5278592375366564,59.8884222718289,0.1012491176664589,0.0066662147999961,0.08131561222309,0.0052996111615962,0.0923432861630965,0.0053062590205855,7.580446164454884,3.3879101934085947,2.8671687597759274,8.233006304264695,7.881100145906923,133.55215650875263,D,[]
