PSR,P0,P-dot,Telescope,Freq(MHz),best_alpha,alpha_Upper_Error,alpha_Lower_Error,best_beta,beta_upper_Error,beta_lower_Error,best_phase_offset,phase_offset_upper_error,phase_offset_lower_error,best_psi_offset,psi_offset_upper_error,psi_offset_lower_error,best_chi_red,Chi_upper_error,Chi_lower_error,best_K,K_upper_error,K_lower_error,w10,w10_error,w10_center,SN_peak,L_I,σ_LI,V_I,σ_VI,absV_I,σ_absVI,rho,drho_up,drho_down,PW,W10_MH,all_alpha_range,category,exclusion_reasons
J0627+0649,0.3465232908462588,1.697586640050596e-15,MeerKAT,856-1712,39.231651272999656,15.70788594177636,18.945908084437185,13.29126903908855,4.275819253345272,6.20041526946105,11.588359682655762,6.034476649101984,0.94831655127979,-10.56498285953884,2.647306657653946,18.421004308596423,1.0688672958576968,0.2386082172248811,0.021044685792954,-2.750993237677231,0.0567549425881361,0.0679456407715068,21.8181818181818,0.3387040362977551,5.102639296187679,236.4961432419844,0.7895869032107043,0.0030279886798508,-0.0240157141612328,0.0022431037512259,0.0276292094795419,0.0022433001919429,15.389589382508865,4.030748623003976,5.305966993672624,14.931468187054586,14.579562028696817,34.653794026213546,A,[]
J0630-2834,1.2444265229277962,7.122959439443392e-15,MeerKAT,856-1712,136.96250077639323,0.5953467875953891,0.6106776675120216,9.629335209600791,0.1079113285128325,0.1069750578546493,-0.2858958274167438,0.0094374206285127,0.0106624285080098,-13.439444116232233,0.0406221895233933,0.0363012337453838,300.10351502795453,0.1202759550056953,0.0007396243659627,-4.080004701475372,0.0018573846480594,0.0021549749937816,139.70674486803517,1.2152633749312245,29.91202346041055,4428.271063383147,0.5235244020624246,0.0001013898098449,-0.0510043642331035,6.227276375158828e-05,0.0511745510403148,6.227375772680096e-05,42.30574220757793,0.5662895604911898,0.5774262784644055,31.42959084207952,17.48536516965071,1.2060244551074106,A,[]
J0631+1036,0.28784107294900907,1.0273533936063281e-13,MeerKAT,856-1712,6.277018563445219,16.85887939259208,3.4112889419780363,0.8782301160572132,2.316515784182383,0.4751562081610843,11.872634376368437,0.2040269047273906,0.1090801922595083,25.299846198092283,0.837995464034254,1.4310606159818668,1.3309879163540612,0.2465215259518767,0.001641698993662,-7.133341175156224,0.1574034614447619,0.0916813504151834,29.56011730205278,0.282657110210553,2.2873900293255014,94.71632842526678,0.9237893369731628,0.0060001630166364,0.0727354548174993,0.0038715886673141,0.1257946152039053,0.0038937389440101,1.931363082206133,4.424564673169941,0.7479548273339316,25.069115314784867,21.901959889564907,20.27016833457012,A,[]
J0633-2015,3.2532108384,3.82e-15,MeerKAT,856-1712,68.07344284641168,60.45423922516842,53.194607019086845,-0.8939696015850405,0.6447557676486599,0.0729270427101067,-2.0137339377772188,0.0339430000999174,0.0299548535086398,73.65644599684806,1.0462768200508066,0.919112841172904,4.930508954489834,1.44087411304558,0.1140400622759818,59.45766696399689,2.35541108350688,2.569877443891407,8.797653958944274,3.193239304148133,-2.815249266862168,98.66592303356884,0.4287260382324315,0.0058326097706115,0.112746597872038,0.0039478530687408,0.126124521214503,0.0039551323098699,4.164566324215532,0.5943436958412279,2.750607016711087,2.541593175313875,4.496529991841544,113.64884624425528,C,[]
J0646+0905,0.9039134709677942,7.36088960304038e-16,MeerKAT,856-1712,9.879068672752943,9.974300575358606,7.879004229796926,1.586338217163836,1.5651304830510278,1.2632618606543613,-5.038184547808424,0.1429338969254256,0.1439277304272668,62.14764575447369,1.241636301336122,1.1321566877680311,3.950198800684444,0.243728968063559,0.0192912061584715,-6.197573399293193,0.0588435372806515,0.0463926162557966,32.02346041055718,0.8830936401057229,3.870967741935472,347.39692762692124,0.3684242646500809,0.0013950481029592,-0.0406115133677417,0.001139365119495,0.0422009530380657,0.0011394267207123,3.3475575825664947,2.7295533037223736,1.6856927201323944,23.513257861591395,14.011791585931585,17.85330480515553,A,[]
J0659+1414,0.3849286233650379,5.4941230462711125e-14,MeerKAT,856-1712,40.31302348132905,3.767329667726152,3.9544962507972334,12.310155595510135,1.0384211813300688,1.1363704633893228,14.282846439451127,2.052968419383774,1.0355455434638152,-0.1605413327981963,3.709778784534563,7.914325450511072,1.4217147465852222,0.1707436308568513,0.0006986774574437,-3.034485496468553,0.0396787894936956,0.0350823800431259,51.73020527859239,0.3770424451002311,1.7595307917888636,128.55450514596544,0.8349544948067662,0.003163037257723,-0.139549622320512,0.002092136374557,0.147011432682088,0.0020948768421087,22.25528850633028,1.198195723229396,1.3015907085961451,40.14794907874731,31.35029511980304,7.721825918523386,A,[]
J0709-5923,0.485268383925,1.26e-16,MeerKAT,856-1712,84.34457275032423,67.97246685005098,66.29360775857782,6.015093110940208,0.2448344551473606,4.200849640330839,-1.5924235200069743,1.902888756661945,1.466850793214415,11.723963904400712,16.622759697238926,16.57414720808076,1.375395242615484,0.8685811784562689,0.0355494077873919,-9.496405624407071,0.8974798257557239,0.7618346408157866,8.797653958944274,0.4769913863470355,0.0,87.33404901271022,0.1692839354343381,0.0058543630357041,-0.0301525674951027,0.0048228014004466,0.0408000301111095,0.0048250809236363,7.447942943117018,1.1795731210546392,2.9715300208398534,6.695062816194653,4.935532024405799,134.2660746086288,D,[]
J0711+0931,1.21409049248,4e-16,MeerKAT,856-1712,101.57383507844064,63.2361102506851,74.20688593178411,-8.21531818287882,6.1308722503469415,0.5360607666238462,-1.0007762131422837,1.7082167666464585,1.837162622274366,-9.702453633970617,11.251632351002682,12.51379956689513,0.952369303077625,0.4965610560652609,0.0331673826082534,6.855921672908058,0.8005684911287361,0.8530403572835956,13.724340175953069,1.1990708817786786,-1.0557184750733128,66.23759655991061,0.3466889123280978,0.0072259064335293,-0.0890427811948804,0.0055309812933658,0.1076266604237541,0.0055407103833175,10.663083613932551,4.197236323786554,2.0685172081216066,6.565206191549792,6.213300033192021,137.44299618246922,D,[]
J0729-1448,0.25170865575972134,1.1335591693680099e-13,MeerKAT,856-1712,55.07241900277304,6.995768690460082,7.814712742125742,-4.252761094722594,0.4034668868931779,0.2941226744242513,4.591279071276946,0.147549168705833,0.3273903413086687,71.77312506251111,1.6921353867042086,4.051066931853924,1.240864824144341,0.2248225874617511,0.0002542041478683,11.056021162972764,0.2702341035046061,0.2672790616769749,25.689149560117304,0.2515070036073562,-5.630498533724348,46.177395814829005,0.947220958647802,0.0078500678293537,0.118868694985039,0.0053971174813359,0.124835860092239,0.0054010989294663,11.084892275619216,0.8168436967507949,1.0578275242376465,27.64113244371097,22.71444622670217,14.810481432585824,A,[]
J0729-1836,0.510176205563134,1.8958309267479247e-14,MeerKAT,856-1712,108.81458911473126,22.65949697556593,18.21556588822827,-6.577550261383137,1.4281974580417502,0.4310820638102521,7.020670575147811,0.170560606461616,0.1517056404543399,37.93032560814023,1.2834597183249483,1.1266832066973578,13.047988458684586,0.243781905845335,0.0010108818224754,8.263504045173596,0.1436995569709918,0.1256819167615344,26.041055718475054,0.4983653737858087,6.158357771260993,412.437842519308,0.2642367029818988,0.0010547676727882,-0.0859933957149721,0.0008328960003842,0.0881559606154703,0.0008330610405688,14.15589948935798,2.1109919328410416,0.4654827633177854,14.938559138197656,10.011872921188864,40.8750628637942,B,[]
