PSR,P0,P-dot,Telescope,Freq(MHz),best_alpha,alpha_Upper_Error,alpha_Lower_Error,best_beta,beta_upper_Error,beta_lower_Error,best_phase_offset,phase_offset_upper_error,phase_offset_lower_error,best_psi_offset,psi_offset_upper_error,psi_offset_lower_error,best_chi_red,Chi_upper_error,Chi_lower_error,best_K,K_upper_error,K_lower_error,w10,w10_error,w10_center,L_I,σ_LI,V_I,σ_VI,absV_I,σ_absVI,rho,drho_up,drho_down,PW,W10_MH,all_alpha_range,category
J0659+1414,0.3849286233650379,5.4941230462711125e-14,MeerKAT,856-1712,40.31302348132905,3.767329667726152,3.9544962507972334,12.310155595510135,1.0384211813300688,1.1363704633893228,14.282846439451127,2.052968419383774,1.0355455434638152,-0.1605413327981963,3.709778784534563,7.914325450511072,1.4217147465852222,0.1707436308568513,0.0006986774574437,-3.034485496468553,0.0396787894936956,0.0350823800431259,29.20821114369501,0.3767840707052931,-2.463343108504408,0.8279941198776256,0.0032780137599406,-0.1383922668816727,0.0021295127961114,0.1481026217635916,0.0021324701049536,16.17871064220785,0.9538561714286958,1.0192134125759411,40.14794907874731,31.35029511980304,7.721825918523386,A
J0711+0931,1.21409049248,4e-16,MeerKAT,856-1712,101.57383507844064,63.2361102506851,74.20688593178411,-8.21531818287882,6.1308722503469415,0.5360607666238462,-1.0007762131422837,1.7082167666464585,1.837162622274366,-9.702453633970617,11.251632351002682,12.51379956689513,0.952369303077625,0.4965610560652609,0.0331673826082534,6.855921672908058,0.8005684911287361,0.8530403572835956,12.316715542521983,1.1991458393445775,-1.0557184750733128,0.3466889123280978,0.0061804955708759,-0.0890427811948804,0.0056016688148499,0.1076266604237541,0.0056113291970208,10.232724411113974,4.223215769873921,1.731524249534607,6.565206191549792,6.213300033192021,137.44299618246922,D
J0729-1448,0.25170865575972134,1.1335591693680099e-13,MeerKAT,856-1712,55.07241900277304,6.995768690460082,7.814712742125742,-4.252761094722594,0.4034668868931779,0.2941226744242513,4.591279071276946,0.147549168705833,0.3273903413086687,71.77312506251111,1.6921353867042086,4.051066931853924,1.240864824144341,0.2248225874617511,0.0002542041478683,11.056021162972764,0.2702341035046061,0.2672790616769749,25.6891495601173,0.2504912893741752,-5.278592375366575,0.9417648042257408,0.0077298611812515,0.1198987643142887,0.0052893303858827,0.1258336043862514,0.005292767706287,11.084892275619213,0.8168436967507949,1.057827524237645,27.64113244371097,22.71444622670217,14.810481432585824,A
J0729-1836,0.510176205563134,1.8958309267479247e-14,MeerKAT,856-1712,108.81458911473126,22.65949697556593,18.21556588822827,-6.577550261383137,1.4281974580417502,0.4310820638102521,7.020670575147811,0.170560606461616,0.1517056404543399,37.93032560814023,1.2834597183249483,1.1266832066973578,13.047988458684586,0.243781905845335,0.0010108818224754,8.263504045173596,0.1436995569709918,0.1256819167615344,17.243401759530776,0.4983805726081103,5.630498533724335,0.2641807557963467,0.0010797751127968,-0.0859604511037441,0.000909343334892,0.0880694730764717,0.0009095003471502,10.590997285725388,1.4327282765816307,0.3692848022672773,14.938559138197656,10.011872921188864,40.8750628637942,B
J0737-2202,0.32037007073732865,5.469360563558242e-15,MeerKAT,856-1712,134.16523174844843,36.12335572487831,58.92702454276666,-10.566666989957024,8.117755935465023,4.9979703544792535,6.7224234806718535,4.682691845921122,1.970329479312804,92.51565405807064,15.62186896342618,6.431858891583644,1.599307719095156,0.3321238803381181,0.0241418546112026,3.9117437978734086,0.4359642689492693,0.4256098874602516,30.263929618768323,0.3546880364416601,0.5278592375366467,0.6172049441074671,0.0237204650515166,-0.0347385628425619,0.017132731541862,0.1648151516713789,0.0173424452357007,15.77737458378548,6.3966856861445205,4.359057704963778,18.15937362729943,21.32652905251937,95.05038026764495,C
J0812-3905,0.482595929159,4.49e-17,MeerKAT,856-1712,73.0059250313664,46.70688000910499,51.41037574546778,-9.66262622589843,5.820550859070886,0.6535569210762056,-4.053217787273058,1.371988017347948,1.3161730581547904,15.939429906762124,6.826147394440481,6.270469561981919,1.820267087715714,0.1893763057419355,0.000286048937254,5.697680343538697,0.6273577507516874,0.5380776872056758,42.58064516129031,0.4968073984671331,-5.630498533724346,0.2461996484405204,0.00640031148272,-0.026712831886721,0.0058040998522339,0.054760580695873,0.0058098146006275,21.95420284069016,1.523574992082278,10.658546549252511,19.34854174351873,22.86760332709644,98.11725575457277,C
J0820-3921,1.07356658405,1.2169e-14,MeerKAT,856-1712,104.82401061678466,58.55125533499255,63.893286592721424,26.488180170084416,1.954189326778792,18.97136422154652,7.708406721318528,12.91873172423436,10.096116504786384,-15.570999049844572,21.881801795031265,31.11388893384824,1.2469727259543149,0.2120380082448421,0.0084089149136079,-2.1674611692475523,0.2148216689020803,0.1856026203436016,35.89442815249266,1.0679214854382115,-1.9354838709677509,0.3304198102251486,0.005076755958296,-0.0311718663659173,0.0033280948493508,0.0465420366847964,0.0033312989686704,30.71777897340544,4.813309766758306,12.159387953182614,18.441544551230542,27.59110466853261,122.44454192771396,D
J0821-4221,0.3967301802158189,3.4812432408215868e-15,MeerKAT,856-1712,87.64914411703572,25.31243704424142,24.88514088269396,2.262032039061116,0.0763728896375637,0.3275808349333333,8.212041188563646,0.1695281604474185,0.1977143629760949,9.693281539790894,1.4370914778132349,1.1933687647984303,0.9468081308777336,0.2127892811496594,3.7053794659236416e-06,-25.3145983738747,2.0146656224409014,2.009967164339752,20.76246334310849,0.3927087284578937,6.334310850439877,0.3539031160021701,0.0076024240771709,0.0226967225716186,0.005760376740619,0.0838939254504457,0.0057794602905468,10.621853192113344,0.8819625610907897,1.0345902880983289,13.314680484751324,12.258962009678012,50.19757792693538,B
J0831-4406,0.311673518473,1.279e-15,MeerKAT,856-1712,88.60553811327122,65.09593958662182,65.39451828744578,8.691264316250109,0.3269394700714549,5.454608989512234,-2.526039682424668,2.2661476252476733,2.187719881146215,16.005609229418987,16.337526840205136,13.836410406449506,0.8651514865074795,0.4423959724073755,0.0034477434290075,-6.615731210072664,0.7980991884801218,0.7025607090411343,17.243401759530776,0.3064034859298822,-2.1114369501466257,0.1210181103371589,0.0053745974881921,0.0254816692919111,0.0047158650292837,0.0422233577885346,0.0047183355890165,12.228286492831272,2.9895751656252583,4.041759784393896,10.795834403832284,9.03630361204343,130.4904578740676,D
J0838-2621,0.3085806879669152,3.929623187415805e-17,MeerKAT,856-1712,42.97242885019732,45.2676240697939,32.8932775300274,-11.340155819486274,8.364636664409975,4.655734611247208,12.066868991900993,4.408693857539465,5.806321798105817,44.46189911110949,14.39554647259029,16.501617535373867,1.6549384977574535,0.3199265441591798,0.0128424071673514,3.4665854490821166,0.4536292236792825,0.3020361132977069,40.82111436950149,0.315805340963348,4.046920821114375,0.2206688517930038,0.0112576928033294,-0.0560956949510368,0.0083567854738131,0.1300297807485389,0.0084205137084036,16.65809065054741,7.110435382255641,6.154899929892306,33.00528541418839,28.430505355537363,78.1609015998213,B
J0843-5022,0.20895581408275532,1.7247573485044652e-16,MeerKAT,856-1712,82.60848114276159,70.5258017657358,61.88511554179482,-10.603765769182164,6.869927487285553,0.5818220144058,2.9792080436510124,2.895027559423272,3.729664800121345,81.4518540732987,14.53212693194554,18.001790448530436,1.930497996393844,0.3703152317812921,0.0038881846245466,5.38915347469224,0.9079891437950076,0.7096334483224949,22.873900293255133,0.2109853595348283,-3.51906158357772,0.1679018988724921,0.0090670816616889,0.0897633529788394,0.0071710171820899,0.1110829843579152,0.0071862805105375,15.378490117148424,4.730499645049204,4.414786591810565,13.712345873563027,17.935219773856296,132.4109173075306,D
