alpha,beta,phase_offset,psi_offset,log_likelihood,log_prior
96.79040505151963,2.1267832204563746,8.216236036552942,9.694320255280218,-193.56522254832555,-10.38591370178042
116.7862565395975,2.2111291137813964,8.216236036552942,9.694320255280218,-192.9415517461891,-10.38591370178042
131.9632428560621,1.8402432881642312,8.216236036552942,9.694320255280218,-192.9404972446042,-10.38591370178042
35.17910668716948,1.2319490629524523,8.216236036552942,9.694320255280218,-192.63770599715284,-10.38591370178042
51.111464872230925,1.7421231825092889,8.216236036552942,9.694320255280218,-191.93329389547114,-10.38591370178042
57.732314031234274,1.9231327713755064,8.216236036552942,9.694320255280218,-191.91324737065307,-10.38591370178042
99.1744999121021,2.4018669994298563,8.216236036552942,9.694320255280218,-191.72652978781744,-10.38591370178042
41.57111073175322,1.396170765395155,8.216236036552942,9.694320255280218,-191.61705985414326,-10.38591370178042
133.32275889935116,1.7677371058429685,8.216236036552942,9.694320255280218,-191.55471744213756,-10.38591370178042
73.64835662712281,2.011233764199744,8.216236036552942,9.694320255280218,-191.4794136261128,-10.38591370178042
102.35630241937024,2.137310293999647,8.216236036552942,9.694320255280218,-191.4070163871025,-10.38591370178042
133.56925015662318,1.7244240144653418,8.216236036552942,9.694320255280218,-191.3606433439534,-10.38591370178042
125.37432878826954,1.8830099259925959,8.216236036552942,9.694320255280218,-191.2513603489396,-10.38591370178042
84.7330725465452,2.1182677209152274,8.216236036552942,9.694320255280218,-191.17626117955558,-10.38591370178042
131.7617229134268,1.7648372395610892,8.216236036552942,9.694320255280218,-191.17389074440348,-10.38591370178042
42.80442673840402,1.444691547919362,8.216236036552942,9.694320255280218,-191.1687107352504,-10.38591370178042
124.90598128868169,2.0038319337116945,8.216236036552942,9.694320255280218,-191.115994956676,-10.38591370178042
97.77010801863634,2.39804572894667,8.216236036552942,9.694320255280218,-191.01105711124987,-10.38591370178042
91.18575444193374,2.401827112775507,8.216236036552942,9.694320255280218,-191.00098408688106,-10.38591370178042
91.92376539965616,2.4025728812057423,8.216236036552942,9.694320255280218,-190.9556324980272,-10.38591370178042
54.7949732224016,1.7055485205272163,8.216236036552942,9.694320255280218,-190.94339937242813,-10.38591370178042
54.49924483887539,1.8196566985633353,8.216236036552942,9.694320255280218,-190.76573027488948,-10.38591370178042
88.83903307992162,2.3906854852960606,8.216236036552942,9.694320255280218,-190.7052770677726,-10.38591370178042
119.15287931349103,2.130872738620596,8.216236036552942,9.694320255280218,-190.7036519170678,-10.38591370178042
88.24459139056408,2.1432199599926918,8.216236036552942,9.694320255280218,-190.6784139212688,-10.38591370178042
58.26069434463545,1.916470424936847,8.216236036552942,9.694320255280218,-190.54545769850384,-10.38591370178042
47.801525114027314,1.6118070583619897,8.216236036552942,9.694320255280218,-190.54060938045063,-10.38591370178042
63.33985199865425,2.038837035953037,8.216236036552942,9.694320255280218,-190.52816829375755,-10.38591370178042
115.16367461734123,2.048080287145524,8.216236036552942,9.694320255280218,-190.509925360505,-10.38591370178042
96.65940637154775,2.16215657724139,8.216236036552942,9.694320255280218,-190.48059018618392,-10.38591370178042
104.80405767737741,2.1386380773996194,8.216236036552942,9.694320255280218,-190.42765850054283,-10.38591370178042
46.98153598746852,1.5706730806246867,8.216236036552942,9.694320255280218,-190.40025576757182,-10.38591370178042
122.84637567286697,1.9438700157932232,8.216236036552942,9.694320255280218,-190.3958822648406,-10.38591370178042
57.71900919709169,1.7726096873268204,8.216236036552942,9.694320255280218,-190.39187710179021,-10.38591370178042
122.87723156323194,2.0386644321750254,8.216236036552942,9.694320255280218,-190.38545917921408,-10.38591370178042
70.9022244496004,2.1889562844365003,8.216236036552942,9.694320255280218,-190.3795324204398,-10.38591370178042
90.99951276906164,2.3926669186922993,8.216236036552942,9.694320255280218,-190.3551010617977,-10.38591370178042
126.40816211060003,1.942266699727199,8.216236036552942,9.694320255280218,-190.35196777789835,-10.38591370178042
120.49062784234506,2.092717514619153,8.216236036552942,9.694320255280218,-190.26994460982718,-10.38591370178042
75.91215206716242,2.266797310002019,8.216236036552942,9.694320255280218,-190.26944964626426,-10.38591370178042
75.08172436173932,2.0443950319202315,8.216236036552942,9.694320255280218,-190.19810455362853,-10.38591370178042
85.25400382934843,2.1339578001981323,8.216236036552942,9.694320255280218,-190.1881758375988,-10.38591370178042
111.58588793563445,2.25791038054129,8.216236036552942,9.694320255280218,-190.12174267496536,-10.38591370178042
76.34947012458734,2.2701559268596725,8.216236036552942,9.694320255280218,-190.08078839693292,-10.38591370178042
104.16668046532838,2.1475226716156044,8.216236036552942,9.694320255280218,-190.04816911223497,-10.38591370178042
104.67234977927465,2.3405367674040605,8.216236036552942,9.694320255280218,-190.03125624605298,-10.38591370178042
74.48644456256025,2.0399726835454146,8.216236036552942,9.694320255280218,-190.01960055126054,-10.38591370178042
114.02487879831877,2.0701095737007194,8.216236036552942,9.694320255280218,-189.9860606562278,-10.38591370178042
125.24568179750383,1.9225655430250583,8.216236036552942,9.694320255280218,-189.97080763203266,-10.38591370178042
121.55030161330441,2.0601262240550966,8.216236036552942,9.694320255280218,-189.96238824300036,-10.38591370178042
53.456276826176286,1.772200916076855,8.216236036552942,9.694320255280218,-189.9417412755154,-10.38591370178042
114.35615615107864,2.067324364392263,8.216236036552942,9.694320255280218,-189.9409179811379,-10.38591370178042
108.95689111326936,2.2915842357478198,8.216236036552942,9.694320255280218,-189.94070125343433,-10.38591370178042
113.06447323185408,2.231167974053193,8.216236036552942,9.694320255280218,-189.93192364302797,-10.38591370178042
109.44753510162852,2.2839368863570684,8.216236036552942,9.694320255280218,-189.87154524444162,-10.38591370178042
116.36978842709127,2.17043153334798,8.216236036552942,9.694320255280218,-189.85419324768262,-10.38591370178042
65.71547604972346,1.9218522672519072,8.216236036552942,9.694320255280218,-189.82466202133415,-10.38591370178042
