alpha,beta,phase_offset,psi_offset,log_likelihood,log_prior
81.77025511683371,2.152260368105985,8.44905838797871,10.637107288283772,-202.9094961956131,-21.793478651092823
119.46104038797338,2.2229255144922604,8.022138786413791,10.65538623077262,-197.61259974264226,-21.793478651092823
109.36568950412736,2.2066193385681885,8.414333934785702,9.424430930237776,-195.04917545593875,-21.793478651092823
32.26894515228937,1.1125642093593626,8.10862939359447,10.107566062440583,-194.72868768569202,-21.793478651092823
126.79878132982128,1.8888920569143721,8.410249523757642,8.980184508060177,-194.60703775688506,-21.793478651092823
102.47654081685474,2.276833453840183,7.959577656294442,9.790137607153582,-194.51213715625138,-21.793478651092823
137.73314043802893,1.6567215500815422,7.959794354840511,11.092244427747062,-194.5088152346466,-21.793478651092823
78.53432574528011,2.2069570906301976,7.814045693905712,11.846833793655776,-194.40147002899073,-21.793478651092823
13.271596502419284,0.47514677835734176,8.228808889962636,10.227406561421617,-194.39174368981546,-21.793478651092823
68.56355986801125,2.197376643327587,8.212935829702218,9.497068349961495,-194.325555580326,-21.793478651092823
59.112117038709656,1.8925280380957759,8.447109168150405,7.953189042082698,-194.18535622401083,-21.793478651092823
72.00336012643533,2.2478555293389206,8.021826044815072,9.980182799520861,-193.7919882699062,-21.793478651092823
123.37408117231176,1.8853423080086742,8.281683061974775,9.715707053171684,-193.71834039180322,-21.793478651092823
44.831688675267046,1.4772532293338827,8.310239170272865,10.665774424841374,-193.59380604976835,-21.793478651092823
65.61212386058179,1.953438834460556,8.319867179049766,10.78780076024998,-193.4281155989412,-21.793478651092823
76.08328353994006,2.2876923814638985,8.326667040403976,8.553558159959806,-193.41740386895788,-21.793478651092823
69.29251448866454,2.1203690799463004,7.867518289864478,11.406674994606249,-193.4145658450797,-21.793478651092823
53.52702911036437,1.663917656882532,8.211274417796375,9.465104102224387,-193.37269121364704,-21.793478651092823
131.4904924423613,1.79958347317789,7.992485445110276,10.222958572992098,-193.27409149931816,-21.793478651092823
139.89158386072688,1.5387488703333645,8.077840221521967,10.334447558022475,-193.15954399808368,-21.793478651092823
