Angle,PA,PA_filtered
-145.86510263929617,,
-145.5131964809384,,
-145.16129032258064,,
-144.80938416422288,,
-144.45747800586508,,
-144.10557184750732,,
-143.75366568914956,,
-143.4017595307918,,
-143.049853372434,,
-142.69794721407624,,
-142.34604105571847,,
-141.9941348973607,,
-141.64222873900292,,
-141.29032258064515,,
-140.9384164222874,,
-140.58651026392963,,
-140.23460410557183,,
-139.88269794721407,62.26588534150545,62.26588534150545
-139.5307917888563,,
-139.17888563049854,,
-138.82697947214075,,
-138.47507331378299,,
-138.12316715542522,,
-137.77126099706746,,
-137.41935483870967,,
-137.0674486803519,,
-136.71554252199414,,
-136.36363636363637,,
-136.01173020527858,,
-135.65982404692082,,
-135.30791788856305,,
-134.9560117302053,,
-134.6041055718475,,
-134.25219941348973,,
-133.90029325513197,,
-133.5483870967742,71.1594227600678,71.1594227600678
-133.1964809384164,,
-132.84457478005865,,
-132.4926686217009,,
-132.14076246334312,,
-131.78885630498533,,
-131.43695014662757,-51.49663581833371,-51.49663581833371
-131.0850439882698,,
-130.73313782991204,,
-130.38123167155425,,
-130.02932551319648,,
-129.67741935483872,-82.05819303898079,-82.05819303898079
-129.32551319648096,,
-128.97360703812316,,
-128.6217008797654,,
-128.26979472140764,-88.94081339862218,-88.94081339862218
-127.91788856304986,,
-127.5659824046921,,
-127.21407624633432,,
-126.86217008797655,,
-126.51026392961877,,
-126.15835777126101,,
-125.80645161290323,-67.0287853875564,-67.0287853875564
-125.45454545454547,,
-125.10263929618769,,
-124.75073313782993,,
-124.39882697947215,,
-124.04692082111438,,
-123.6950146627566,,
-123.34310850439884,,
-122.99120234604106,,
-122.6392961876833,,
-122.28739002932552,,
-121.93548387096776,,
-121.58357771260998,,
-121.23167155425222,,
-120.87976539589444,46.842856498296264,46.842856498296264
-120.52785923753667,,
-120.1759530791789,-72.39907012376624,-72.39907012376624
-119.82404692082113,,
-119.47214076246335,,
-119.12023460410559,,
-118.76832844574781,,
-118.41642228739005,,
-118.06451612903226,,
-117.71260997067448,,
-117.36070381231671,,
-117.00879765395894,,
-116.65689149560117,,
-116.3049853372434,,
-115.95307917888563,,
-115.60117302052785,,
-115.24926686217009,,
-114.89736070381231,,
-114.54545454545455,,
-114.19354838709677,,
-113.841642228739,-52.187943965219375,-52.187943965219375
-113.48973607038123,,
-113.13782991202346,,
-112.78592375366568,,
-112.43401759530792,,
-112.08211143695014,,
-111.73020527859238,,
-111.3782991202346,,
-111.02639296187684,,
-110.67448680351906,,
-110.3225806451613,,
-109.97067448680352,,
-109.61876832844575,,
-109.26686217008798,,
-108.91495601173021,-17.243673994931303,-17.243673994931303
-108.56304985337243,,
-108.21114369501467,,
-107.85923753665689,,
-107.50733137829913,,
-107.15542521994135,,
-106.80351906158356,,
-106.4516129032258,,
-106.09970674486802,,
-105.74780058651025,,
-105.39589442815247,,
-105.04398826979471,,
-104.69208211143693,,
-104.34017595307917,,
-103.98826979472139,,
-103.63636363636363,,
-103.28445747800585,,
-102.93255131964808,,
-102.5806451612903,,
-102.22873900293254,-44.51007290085122,-44.51007290085122
-101.87683284457476,,
-101.524926686217,,
-101.17302052785922,,
-100.82111436950146,,
-100.46920821114368,,
-100.11730205278592,,
-99.76539589442814,,
-99.41348973607037,,
-99.0615835777126,,
-98.70967741935483,,
-98.35777126099705,,
-98.00586510263929,-80.86073105292337,-80.86073105292337
-97.65395894428151,-52.31481726649935,-52.31481726649935
-97.30205278592375,,
-96.95014662756597,,
-96.5982404692082,,
-96.24633431085043,,
-95.89442815249267,,
-95.54252199413489,,
-95.19061583577712,,
-94.83870967741935,-39.29808023397813,-39.29808023397813
-94.48680351906158,,
-94.1348973607038,,
-93.78299120234604,,
-93.43108504398826,,
-93.0791788856305,,
-92.72727272727272,,
-92.37536656891496,,
-92.02346041055718,,
-91.67155425219941,,
-91.31964809384164,,
-90.96774193548387,,
-90.6158357771261,,
-90.26392961876833,,
-89.91202346041055,,
-89.56011730205279,,
-89.20821114369501,,
-88.85630498533725,-14.394594056523385,-14.394594056523385
-88.50439882697947,,
-88.1524926686217,,
-87.80058651026393,,
-87.44868035190616,,
-87.09677419354838,,
-86.74486803519062,,
-86.39296187683284,,
-86.04105571847508,,
-85.6891495601173,,
-85.33724340175954,,
-84.98533724340176,,
-84.633431085044,,
-84.28152492668622,,
-83.92961876832845,,
-83.57771260997067,,
-83.22580645161291,,
-82.87390029325513,,
-82.52199413489737,,
-82.17008797653959,,
-81.81818181818183,,
-81.46627565982405,,
-81.11436950146629,,
-80.76246334310851,,
-80.41055718475074,,
-80.05865102639297,,
-79.7067448680352,,
-79.35483870967742,,
-79.00293255131966,,
-78.65102639296187,,
-78.29912023460409,,
-77.94721407624633,,
-77.59530791788855,,
-77.24340175953078,,
-76.891495601173,,
-76.53958944281524,,
-76.18768328445746,,
-75.8357771260997,25.84820996868013,25.84820996868013
-75.48387096774192,,
-75.13196480938416,,
-74.78005865102638,,
-74.42815249266862,,
-74.07624633431084,,
-73.72434017595307,-23.87595699856819,-23.87595699856819
-73.3724340175953,,
-73.02052785923753,,
-72.66862170087975,,
-72.31671554252199,,
-71.96480938416421,,
-71.61290322580645,,
-71.26099706744867,,
-70.9090909090909,,
-70.55718475073313,79.29015302659565,79.29015302659565
-70.20527859237536,,
-69.85337243401759,,
-69.50146627565982,,
-69.14956011730204,,
-68.79765395894428,,
-68.4457478005865,,
-68.09384164222874,,
-67.74193548387096,,
-67.3900293255132,,
-67.03812316715542,,
-66.68621700879766,,
-66.33431085043988,,
-65.98240469208211,,
-65.63049853372434,,
-65.27859237536657,,
-64.9266862170088,,
-64.57478005865103,,
-64.22287390029325,,
-63.87096774193549,10.089384490473023,10.089384490473023
-63.51906158357772,,
-63.167155425219946,,
-62.815249266862175,,
-62.463343108504404,,
-62.11143695014663,,
-61.75953079178886,,
-61.40762463343109,-74.02261723901573,-74.02261723901573
-61.05571847507332,,
-60.70381231671555,,
-60.35190615835778,,
-60.00000000000001,,
-59.648093841642236,,
-59.296187683284465,,
-58.944281524926694,25.694949745834055,25.694949745834055
-58.59237536656892,,
-58.24046920821115,,
-57.88856304985338,,
-57.53665689149561,,
-57.18475073313784,,
-56.83284457478007,-56.76986019258735,-56.76986019258735
-56.4809384164223,,
-56.129032258064505,,
-55.777126099706734,,
-55.42521994134896,,
-55.07331378299119,,
-54.72140762463342,,
-54.36950146627565,,
-54.01759530791788,,
-53.66568914956011,,
-53.31378299120234,,
-52.96187683284457,77.95221738833291,77.95221738833291
-52.609970674486796,,
-52.258064516129025,,
-51.906158357771254,,
-51.55425219941348,,
-51.20234604105571,80.21912930732721,80.21912930732721
-50.85043988269794,,
-50.49853372434017,,
-50.1466275659824,,
-49.79472140762463,,
-49.44281524926686,,
-49.090909090909086,,
-48.739002932551315,,
-48.387096774193544,,
-48.03519061583577,,
-47.683284457478,,
-47.33137829912023,,
-46.97947214076246,,
-46.62756598240469,,
-46.27565982404692,48.30593309910585,48.30593309910585
-45.92375366568915,,
-45.57184750733138,,
-45.219941348973606,,
-44.868035190615835,,
-44.516129032258064,,
-44.16422287390029,,
-43.81231671554252,,
-43.46041055718475,,
-43.10850439882698,,
-42.75659824046921,,
-42.40469208211144,,
-42.05278592375367,,
-41.7008797653959,,
-41.348973607038126,,
-40.997067448680355,,
-40.645161290322584,,
-40.29325513196481,,
-39.94134897360704,,
-39.58944281524927,,
-39.2375366568915,,
-38.88563049853373,,
-38.53372434017596,,
-38.18181818181819,,
-37.829912023460416,,
-37.478005865102645,-57.390101623450164,-57.390101623450164
-37.126099706744874,,
-36.7741935483871,,
-36.42228739002933,,
-36.07038123167156,,
-35.71847507331379,,
-35.36656891495602,,
-35.01466275659825,,
-34.66275659824048,-60.06658239450485,-60.06658239450485
-34.31085043988271,,
-33.958944281524936,,
-33.60703812316714,,
-33.25513196480937,,
-32.9032258064516,,
-32.55131964809383,,
-32.19941348973606,,
-31.847507331378292,,
-31.49560117302052,,
